id,rank,word,lemma,pos,pos_long,english_definition,frequency,sum_frequency,coca_spoken_freq,coca_fiction_freq,coca_magazines_freq,coca_newspapers_freq,sat,gre
4493,4493,deserve,deserve,vv0,verb,,8404,339142627,25,17,16,20,FALSE,FALSE
4494,4494,evaluate,evaluate,vv0,verb,,8404,339151031,6,2,11,10,FALSE,FALSE
4495,4495,huh,huh,uh,interjection,,8403,339159434,31,53,4,3,FALSE,FALSE
4496,4496,shared,shared,jj,adjective,,8402,339167836,5,8,17,11,FALSE,FALSE
4497,4497,profound,profound,jj,adjective,Having deep meaning.,8401,339176237,12,10,22,13,TRUE,TRUE
4498,4498,acid,acid,nn1,noun,,8386,339184623,6,10,42,9,FALSE,FALSE
4499,4499,electrical,electrical,jj,adjective,,8382,339193005,7,12,30,16,FALSE,FALSE
4500,4500,lip,lip,nn1,noun,,8380,339201385,6,50,22,6,FALSE,FALSE
4501,4501,delicate,delicate,jj,adjective,,8376,339209761,7,32,24,16,FALSE,FALSE
4502,4502,hallway,hallway,nn1,noun,,8376,339218137,6,69,8,7,FALSE,FALSE
4503,4503,orange,orange,nn1,noun,,8375,339226512,8,25,34,19,FALSE,FALSE
4504,4504,accuracy,accuracy,nn1,noun,"The state of being accurate; freedom from mistakes, this exemption arising from carefulness; exactness; nicety; correctness.",8374,339234886,8,4,20,9,FALSE,FALSE
4505,4505,sunlight,sunlight,nn1,noun,,8370,339243256,3,47,26,7,FALSE,FALSE
4506,4506,promise,promise,vv0,verb,To commit to something or action; to make an oath; make a vow.,8369,339251625,18,38,15,12,FALSE,FALSE
4507,4507,softly,softly,rr,adverb,,8363,339259988,1,74,10,5,FALSE,FALSE
4508,4508,proportion,proportion,nn1,noun,,8362,339268350,5,4,14,9,FALSE,FALSE
4509,4509,hip,hip,nn1,noun,The outward-projecting parts of the pelvis and top of the femur and the overlying tissue.,8361,339276711,8,26,25,17,FALSE,FALSE
4510,4510,worn,wear,vvn,verb,,8360,339285071,6,37,22,14,FALSE,FALSE
4511,4511,thereby,thereby,rr,adverb,"By it, by that.",8360,339293431,4,4,16,6,FALSE,FALSE
4512,4512,scheme,scheme,nn1,noun,A systematic or organized configuration.,8356,339301787,10,9,21,17,FALSE,FALSE
4513,4513,beat,beat,vvd,verb,To hit; to knock; to pound; to strike.,8353,339310140,14,18,17,38,FALSE,FALSE
4514,4514,closing,closing,nn1,noun,The end or conclusion of something.,8352,339318492,16,31,13,20,FALSE,FALSE
4515,4515,invisible,invisible,jj,adjective,Unable to be seen; not visible.,8350,339326842,6,38,19,10,FALSE,FALSE
4516,4516,associated,associated,jj,adjective,Closely connected or related.,8343,339335185,8,1,7,47,FALSE,FALSE
4517,4517,question,question,vv0,verb,To ask questions of; interrogate; enquire; ask for information.,8342,339343527,22,13,13,20,FALSE,FALSE
4518,4518,instructional,instructional,jj,adjective,"Intended for purposes of instruction, for teaching.",8337,339351864,1,0,3,3,FALSE,FALSE
4519,4519,habits,habit,nn2,noun,An action done on a regular basis.,8335,339360199,8,11,29,16,FALSE,FALSE
4520,4520,genuine,genuine,jj,adjective,"Belonging to, or proceeding from the original stock; native; hence, not counterfeit, spurious, false, or adulterated; authentic; real; natural; true; pure.",8332,339368531,12,17,19,15,FALSE,FALSE
4521,4521,attending,attend,vvg,verb,To pay attention to; to be present at.,8330,339376861,9,10,17,22,FALSE,FALSE
4522,4522,layers,layer,nn2,noun,A single thickness of some material covering a surface.,8330,339385191,5,14,40,11,FALSE,FALSE
4523,4523,pays,pay,vvz,verb,To give money or other compensation to in exchange for goods or services.,8327,339393518,16,10,24,29,FALSE,FALSE
4524,4524,pile,pile,nn1,noun,"A long slender column usually of timber, steel, or reinforced concrete driven into the ground to carry a vertical load.",8326,339401844,6,47,19,10,FALSE,FALSE
4525,4525,requiring,require,vvg,verb,To claim or ask for by right and authority.,8324,339410168,6,3,18,25,FALSE,FALSE
4526,4526,habit,habit,nn1,noun,An action done on a regular basis.,8324,339418492,8,31,25,12,FALSE,FALSE
4527,4527,pleasant,pleasant,jj,adjective,Giving pleasure; pleasing in manner.,8324,339426816,7,35,21,19,FALSE,FALSE
4528,4528,breasts,breast,nn2,noun,"Either of the two organs on the front of a woman's chest, which contain the mammary glands; also the analogous organs in men.",8319,339435135,7,53,19,7,FALSE,FALSE
4529,4529,faces,face,vvz,verb,To position oneself or itself so as to have one's face closest to (something).,8317,339443452,17,10,16,33,FALSE,FALSE
4530,4530,belly,belly,nn1,noun,The abdomen.,8316,339451768,6,56,18,8,FALSE,FALSE
4531,4531,regulatory,regulatory,jj,adjective,Of or pertaining to regulation.,8315,339460083,8,1,17,20,FALSE,FALSE
4532,4532,striking,striking,jj,adjective,Of that which makes a strong impression.,8311,339468394,10,10,23,17,FALSE,FALSE
4533,4533,load,load,nn1,noun,A burden; a weight to be carried.,8311,339476705,6,17,27,12,FALSE,FALSE
4534,4534,arguing,argue,vvg,verb,To give reasons for or against something.,8308,339485013,20,16,14,18,FALSE,FALSE
4535,4535,improvements,improvement,nn2,noun,Progress toward what is better.,8305,339493318,6,2,19,27,FALSE,FALSE
4536,4536,crops,crop,nn2,noun,"A plant grown to be harvested as food, livestock fodder or fuel or for any other economic purpose.",8298,339501616,6,7,28,15,FALSE,FALSE
4537,4537,gene,gene,nn1,noun,A distinct sequence of nucleotides forming part of a chromosome.,8295,339509911,15,7,33,9,FALSE,FALSE
4538,4538,campaigns,campaign,nn2,noun,A series of operations undertaken to achieve a set goal.,8293,339518204,25,1,17,27,FALSE,FALSE
4539,4539,critic,critic,nn1,noun,A person who appraises the works of others.,8285,339526489,20,5,17,27,FALSE,FALSE
4540,4540,forum,forum,nn1,noun,A place for discussion.,8284,339534773,13,2,15,28,FALSE,FALSE
4541,4541,let,let,vvd,verb,"To allow to, not to prevent.",8280,339543053,9,59,10,8,FALSE,FALSE
4542,4542,intelligent,intelligent,jj,adjective,"Of high or especially quick cognitive capacity, bright.",8279,339551332,16,20,21,15,FALSE,FALSE
4543,4543,representative,representative,jj,adjective,Typical; having the same properties of interest as a larger group.,8275,339559607,26,1,9,14,FALSE,FALSE
4544,4544,rescue,rescue,nn1,noun,An act of saving or being saved from danger or distress.,8271,339567878,29,14,19,19,FALSE,FALSE
4545,4545,mask,mask,nn1,noun,"A covering for all or part of the face, in particular.",8271,339576149,8,37,13,8,FALSE,FALSE
4546,4546,enthusiasm,enthusiasm,nn1,noun,"Intense and eager enjoyment, interest, or approval.",8268,339584417,10,17,21,20,FALSE,FALSE
4547,4547,borders,border,nn2,noun,The outer edge of something.,8267,339592684,17,7,18,20,FALSE,FALSE
4548,4548,challenging,challenging,jj,adjective,"Difficult, hard to do.",8265,339600949,10,4,23,18,FALSE,FALSE
4549,4549,horror,horror,nn1,noun,An intense painful emotion of fear or repugnance.,8262,339609211,13,36,15,16,FALSE,FALSE
4550,4550,human,human,nn1,noun,A person as distinguished from an animal or (in science fiction) an alien.,8262,339617473,8,24,18,10,FALSE,FALSE
4551,4551,shared,share,vvd,verb,Used by multiple entities or for multiple purposes or in multiple ways.,8259,339625732,10,24,19,16,FALSE,FALSE
4552,4552,compensation,compensation,nn1,noun,"The counterbalancing of any defect of structure or function. In psychology, a conscious process or, more frequently, an unconscious defense mechanism by which a person attempts to make up for real or imagined physical or psychological deficiencies.",8259,339633991,10,3,16,32,FALSE,FALSE
4553,4553,barriers,barrier,nn2,noun,A structure that bars passage.,8256,339642247,8,3,14,14,FALSE,FALSE
4554,4554,convinced,convinced,jj,adjective,"In a state of believing, especially from evidence but not necessarily.",8254,339650501,24,14,20,18,FALSE,FALSE
4555,4555,twins,twin,nn2,noun,"Either of two people (or, less commonly, animals) who shared the same uterus at the same time; one who was born at the same birth as a sibling.",8252,339658753,13,21,17,22,FALSE,FALSE
4556,4556,hopefully,hopefully,rr,adverb,It is hoped that; I hope; we hope.,8251,339667004,43,11,10,19,FALSE,FALSE
4557,4557,departments,department,nn2,noun,"A part, portion, or subdivision.",8246,339675250,9,3,14,20,FALSE,FALSE
4558,4558,shuttle,shuttle,nn1,noun,The part of a loom that carries the woof back and forth between the warp threads.,8243,339683493,24,19,17,22,FALSE,FALSE
4559,4559,blow,blow,vv0,verb,To move with speed or force (air).,8240,339691733,20,31,20,13,FALSE,FALSE
4560,4560,connect,connect,vv0,verb,"To join (to another object): to attach, or to be intended to attach or capable of attaching, to another object.",8233,339699966,13,9,27,17,FALSE,FALSE
4561,4561,separation,separation,nn1,noun,The act of separating or the condition of being separated.,8232,339708198,12,7,15,13,FALSE,FALSE
4562,4562,intention,intention,nn1,noun,A course of action that a person intends to follow.,8230,339716428,14,16,12,13,FALSE,FALSE
4563,4563,episode,episode,nn1,noun,"A noteworthy happening or series of happenings occurring in the course of continuous events, as an episode of illness; a separate but not unrelated incident.",8228,339724656,17,9,21,22,FALSE,FALSE
4564,4564,secure,secure,vv0,verb,Fix or attach (something) firmly so that it cannot be moved or lost.,8227,339732883,14,9,23,17,FALSE,FALSE
4565,4565,runs,run,nn2,noun,The act of running.,8226,339741109,4,9,19,51,FALSE,FALSE
4566,4566,pause,pause,nn1,noun,A button whose functions are pause pausing and resume resuming something.,8225,339749334,6,61,11,7,FALSE,FALSE
4567,4567,user,user,nn1,noun,"One who uses or makes use of something, a consumer.",8225,339757559,6,4,23,12,FALSE,FALSE
4568,4568,introduced,introduce,vvd,verb,To lead or bring in especially for the first time.,8223,339765782,11,15,24,19,FALSE,FALSE
4569,4569,precise,precise,jj,adjective,"Exact, accurate",8222,339774004,8,16,24,11,FALSE,FALSE
4570,4570,filed,file,vvn,verb,,8221,339782225,20,5,13,41,FALSE,FALSE
4571,4571,harder,hard,rrr,adverb,,8211,339790436,15,28,21,18,FALSE,FALSE
4572,4572,twin,twin,nn1,noun,"Either of two people (or, less commonly, animals) who shared the same uterus at the same time; one who was born at the same birth as a sibling.",8209,339798645,11,22,23,18,FALSE,FALSE
4573,4573,wives,wife,nn2,noun,,8204,339806849,14,22,18,15,FALSE,FALSE
4574,4574,evil,evil,nn1,noun,,8203,339815052,15,22,17,11,FALSE,FALSE
4575,4575,commit,commit,vv0,verb,To give in trust; to put into charge or keeping; to intrust; to consign.,8200,339823252,29,9,16,18,FALSE,FALSE
4576,4576,swing,swing,nn1,noun,,8200,339831452,12,19,29,21,FALSE,FALSE
4577,4577,blade,blade,nn1,noun,,8198,339839650,2,50,24,6,FALSE,FALSE
4578,4578,listened,listen,vvd,verb,,8192,339847842,11,54,11,9,FALSE,FALSE
4579,4579,containing,contain,vvg,verb,,8190,339856032,5,12,25,12,FALSE,FALSE
4580,4580,inquiry,inquiry,nn1,noun,,8187,339864219,9,6,8,14,FALSE,FALSE
4581,4581,segment,segment,nn1,noun,"A portion of a larger body or structure, set off by natural or arbitrarily established boundaries.",8186,339872405,34,4,13,16,FALSE,FALSE
4582,4582,lakes,lake,nn2,noun,,8183,339880588,5,7,31,21,FALSE,FALSE
4583,4583,cheek,cheek,nn1,noun,,8176,339888764,4,69,9,5,FALSE,FALSE
4584,4584,describing,describe,vvg,verb,,8174,339896938,12,9,16,15,FALSE,FALSE
4585,4585,saved,save,vvn,verb,,8172,339905110,16,26,20,16,FALSE,FALSE
4586,4586,allegations,allegation,nn2,noun,,8171,339913281,38,1,8,32,FALSE,FALSE
4587,4587,temperatures,temperature,nn2,noun,The degree or intensity of heat present in a substance or object.,8168,339921449,10,4,35,14,FALSE,FALSE
4588,4588,statistical,statistical,jj,adjective,,8168,339929617,3,1,10,8,FALSE,FALSE
4589,4589,van,van,nn1,noun,,8163,339937780,14,43,12,15,FALSE,FALSE
4590,4590,crossed,cross,vvd,verb,,8158,339945938,7,55,12,9,FALSE,FALSE
4591,4591,happiness,happiness,nn1,noun,The emotion of being happy; joy.,8158,339954096,12,25,24,10,FALSE,FALSE
4592,4592,shapes,shape,nn2,noun,,8154,339962250,3,21,38,8,FALSE,FALSE
4593,4593,diplomatic,diplomatic,jj,adjective,,8153,339970403,25,5,11,18,FALSE,FALSE
4594,4594,appeals,appeal,nn2,noun,,8152,339978555,18,2,13,32,FALSE,FALSE
4595,4595,wrong,wrong,rr,adverb,,8148,339986703,28,20,17,16,FALSE,FALSE
4596,4596,occupation,occupation,nn1,noun,,8147,339994850,15,6,14,21,FALSE,FALSE
4597,4597,assumption,assumption,nn1,noun,,8146,340002996,10,5,13,8,FALSE,FALSE
4598,4598,am,am,rr,adverb,,8145,340011141,37,15,10,13,FALSE,FALSE
4599,4599,colonel,colonel,nn1,noun,"A commissioned officer in the army, air force, or marine corps. In U.S. military, it ranks above a lieutenant colonel and below a brigadier general.",8143,340019284,24,33,15,11,FALSE,FALSE
4600,4600,fires,fire,nn2,noun,,8140,340027424,18,26,18,16,FALSE,FALSE
4601,4601,lieutenant,lieutenant,nn1,noun,The lowest commissioned officer rank or ranks in many military forces.,8139,340035563,23,35,12,12,FALSE,FALSE
4602,4602,supported,support,vvd,verb,,8138,340043701,18,5,13,18,FALSE,FALSE
4603,4603,approaching,approach,vvg,verb,,8137,340051838,10,33,17,14,FALSE,FALSE
4604,4604,formula,formula,nn1,noun,Any mathematical rule expressed symbolically.,8135,340059973,10,5,30,21,FALSE,FALSE
4605,4605,features,feature,vvz,verb,Have as a prominent attribute or aspect.,8134,340068107,4,1,33,36,FALSE,FALSE
4606,4606,programming,programming,nn1,noun,,8134,340076241,9,5,18,26,FALSE,FALSE
4607,4607,photography,photography,nn1,noun,"The art and technology of producing images on photosensitive surfaces, and its digital counterpart.",8134,340084375,5,5,24,17,FALSE,FALSE
4608,4608,firmly,firmly,rr,adverb,,8131,340092506,7,30,22,12,FALSE,FALSE
4609,4609,assist,assist,vv0,verb,To give support or aid; to be present as a spectator.,8130,340100636,8,7,12,13,FALSE,FALSE
4610,4610,insight,insight,nn1,noun,A sight or view of the interior of anything; a deep inspection or view; introspection; frequently used with into.,8129,340108765,12,7,18,11,FALSE,FALSE
4611,4611,tribal,tribal,jj,adjective,"Of, or relating to, tribes.",8129,340116894,8,5,11,18,FALSE,FALSE
4612,4612,proposed,propose,vvn,verb,To form or put forward a plan or intention.,8121,340125015,14,3,14,20,FALSE,FALSE
4613,4613,turkey,turkey,nn1,noun,A large North American gallinaceous bird (Meleagris gallopavo) that is domesticated in most parts of the world.,8119,340133134,11,12,36,26,FALSE,FALSE
4614,4614,delivered,deliver,vvn,verb,To set free.,8114,340141248,13,14,19,18,FALSE,FALSE
4615,4615,protected,protect,vvn,verb,To keep safe; to defend.,8113,340149361,17,11,20,16,FALSE,FALSE
4616,4616,parental,parental,jj,adjective,Of or relating to a parent.,8109,340157470,7,3,12,10,FALSE,FALSE
4617,4617,verbal,verbal,jj,adjective,"Of, or relating to words.",8107,340165577,6,8,9,9,FALSE,FALSE
4618,4618,coastal,coastal,jj,adjective,Relating to the coast; on or near the coast.,8100,340173677,6,4,22,20,FALSE,FALSE
4619,4619,transmission,transmission,nn1,noun,"A passage or transfer, as of a disease from one individual to another, or of neutral impulses from one neuron to another.",8100,340181777,7,7,20,16,FALSE,FALSE
4620,4620,doubt,doubt,vv0,verb,"To lack confidence in; to disbelieve, question, or suspect.",8096,340189873,19,28,13,15,FALSE,FALSE
4621,4621,villages,village,nn2,noun,A settlement usually larger than a hamlet and smaller than a town.,8095,340197968,11,10,15,19,FALSE,FALSE
4622,4622,threatened,threaten,vvn,verb,To make a threat against someone; to use threats.,8090,340206058,19,8,17,21,FALSE,FALSE
4623,4623,identical,identical,jj,adjective,Having the same cause or origin.,8090,340214148,10,16,19,10,FALSE,FALSE
4624,4624,go,go,nn1,noun,A turn at something.,8089,340222237,24,35,15,9,FALSE,FALSE
4625,4625,resulted,result,vvn,verb,"To proceed, spring or rise, as a consequence, from facts, arguments, premises, thought or endeavor.",8087,340230324,4,3,13,14,FALSE,FALSE
4626,4626,leaning,lean,vvg,verb,"To incline, deviate, or bend from a vertical position.",8087,340238411,7,59,10,9,FALSE,FALSE
4627,4627,rush,rush,nn1,noun,A violent forward motion.,8084,340246495,13,30,18,21,FALSE,FALSE
4628,4628,hypothesis,hypothesis,nn1,noun,A supposition that appears to explain a group of phenomena and is advanced as a basis for further investigation; a proposition that is subject to proof or to an experimental or statistical test.,8083,340254578,2,3,9,2,FALSE,FALSE
4629,4629,taxpayers,taxpayer,nn2,noun,One that pays or is liable for a tax.,8080,340262658,26,1,15,38,FALSE,FALSE
4630,4630,pipe,pipe,nn1,noun,"A rigid tube that transports water, steam, or other fluid, as used in plumbing and numerous other applications.",8079,340270737,8,30,21,15,FALSE,FALSE
4631,4631,woke,wake,vvd,verb,To be or remain awake.,8078,340278815,13,56,11,7,FALSE,FALSE
4632,4632,dispute,dispute,nn1,noun,"An argument or disagreement, a failure to agree.",8078,340286893,17,3,10,28,FALSE,FALSE
4633,4633,guitar,guitar,nn1,noun,"A stringed musical instrument, usually with fretted fingerboard and 6 strings, played with the fingers or a plectrum (guitar pick).",8076,340294969,16,18,21,21,FALSE,FALSE
4634,4634,monitoring,monitoring,nn1,noun,"The process of continually checking, observing, recording or testing the operation of some procedure. Monitoring occurs e.g. during anaesthesia or radiation.",8075,340303044,6,3,13,12,FALSE,FALSE
4635,4635,heels,heel,nn2,noun,Part of the foot on the backside where it becomes the leg.,8071,340311115,8,39,24,13,FALSE,FALSE
4636,4636,copyright,copyright,nn1,noun,"The right by law to be the entity which determines who may publish, copy and distribute a piece of writing, music, picture or other work of authorship.",8071,340319186,5,29,4,34,FALSE,FALSE
4637,4637,wished,wish,vvd,verb,,8068,340327254,5,57,9,6,FALSE,FALSE
4638,4638,historian,historian,nn1,noun,,8067,340335321,12,5,21,18,FALSE,FALSE
4639,4639,divine,divine,jj,adjective,,8066,340343387,4,11,18,7,FALSE,FALSE
4640,4640,ranks,rank,nn2,noun,,8063,340351450,8,9,21,29,FALSE,FALSE
4641,4641,considering,consider,vvg,verb,,8060,340359510,13,11,15,21,FALSE,FALSE
4642,4642,grows,grow,vvz,verb,,8058,340367568,8,17,29,18,FALSE,FALSE
4643,4643,elegant,elegant,jj,adjective,,8055,340375623,6,25,30,18,FALSE,FALSE
4644,4644,teens,teen,nn2,noun,,8053,340383676,14,7,23,29,FALSE,FALSE
4645,4645,suffered,suffer,vvn,verb,,8051,340391727,14,14,19,21,FALSE,FALSE
4646,4646,pressures,pressure,nn2,noun,The amount of force that is applied over a given area divided by the size of this area.,8049,340399776,9,2,16,15,FALSE,FALSE
4647,4647,examining,examine,vvg,verb,,8048,340407824,5,13,11,9,FALSE,FALSE
4648,4648,deals,deal,nn2,noun,A business transaction.,8048,340415872,17,4,21,37,FALSE,FALSE
4649,4649,altogether,altogether,rr,adverb,Without exception; wholly; completely.,8047,340423919,12,20,21,13,FALSE,FALSE
4650,4650,arrangements,arrangement,nn2,noun,,8045,340431964,8,11,18,15,FALSE,FALSE
4651,4651,greek,greek,jj,adjective,"An inhabitant, resident, or a person of descent from Greece.",8043,340440007,8,12,23,18,FALSE,FALSE
4652,4652,participating,participate,vvg,verb,,8041,340448048,8,2,12,15,FALSE,FALSE
4653,4653,gym,gym,nn1,noun,,8039,340456087,10,21,31,20,FALSE,FALSE
4654,4654,responded,respond,vvd,verb,To say something in return; to answer; to reply.,8038,340464125,10,19,15,18,FALSE,FALSE
4655,4655,japanese,japanese,nn1,noun,"Of, relating to, or derived from Japan, its language, or culture.",8036,340472161,18,12,18,19,FALSE,FALSE
4656,4656,generous,generous,jj,adjective,"Showing a readiness to give more of something, as money or time, than is strictly necessary or expected. ",8034,340480195,10,19,24,20,FALSE,FALSE
4657,4657,disorders,disorder,nn2,noun,,8027,340488222,6,1,22,7,FALSE,FALSE
4658,4658,mechanism,mechanism,nn1,noun,"The manner of combination of parts; processes, etc., which subserve a common function.",8015,340496237,8,7,16,7,FALSE,FALSE
4659,4659,interior,interior,jj,adjective,Having to do with the inner part of something,8013,340504250,8,10,30,25,FALSE,FALSE
4660,4660,shade,shade,nn1,noun,,8012,340512262,3,36,31,10,FALSE,FALSE
4661,4661,nuts,nut,nn2,noun,,8006,340520268,11,19,34,17,FALSE,FALSE
4662,4662,angel,angel,nn1,noun,,8005,340528273,11,40,15,14,FALSE,FALSE
4663,4663,brush,brush,nn1,noun,"An implement consisting of multiple more or less flexible bristles or other filament filaments attached to a handle, used for any of various purposes including cleaning, painting, and arranging hair.",7994,340536267,6,26,37,10,FALSE,FALSE
4664,4664,pizza,pizza,nn1,noun,"A baked Italian dish of a thinly rolled bread dough crust typically topped before baking with tomato sauce, cheese, and other ingredients such as meat, vegetables or fruit.",7991,340544258,10,18,27,28,FALSE,FALSE
4665,4665,biology,biology,nn1,noun,The study of all life or living matter.,7983,340552241,7,7,21,9,FALSE,FALSE
4666,4666,beds,bed,nn2,noun,,7982,340560223,7,22,28,17,FALSE,FALSE
4667,4667,published,publish,vvd,verb,,7981,340568204,8,5,23,18,FALSE,FALSE
4668,4668,signals,signal,nn2,noun,,7980,340576184,11,11,28,13,FALSE,FALSE
4669,4669,conscious,conscious,jj,adjective,"Alert, awake.",7979,340584163,11,18,17,10,FALSE,FALSE
4670,4670,laugh,laugh,nn1,noun,,7975,340592138,6,49,14,16,FALSE,FALSE
4671,4671,alternatives,alternative,nn2,noun,A situation which allows a mutually exclusive choice between two or more possibilities; a choice between two or more possibilities.,7975,340600113,10,2,20,16,FALSE,FALSE
4672,4672,judicial,judicial,jj,adjective,,7973,340608086,16,2,9,20,FALSE,FALSE
4673,4673,reliability,reliability,nn1,noun,,7973,340616059,2,1,10,5,FALSE,FALSE
4674,4674,practically,practically,rr,adverb,,7970,340624029,11,28,21,14,FALSE,FALSE
4675,4675,underlying,underlying,jj,adjective,Lying beneath or below.,7966,340631995,9,3,17,10,FALSE,FALSE
4676,4676,courtesy,courtesy,nn1,noun,Polite behavior.,7966,340639961,7,10,38,10,FALSE,FALSE
4677,4677,athlete,athlete,nn1,noun,"A participant in a group of sporting activities which includes track and field, road running, cross country running and racewalking.",7966,340647927,11,5,16,27,FALSE,FALSE
4678,4678,adopt,adopt,vv0,verb,"To take by choice into relationship, non-gloss definition as, child, heir, friend, citizen, etc.",7961,340655888,13,5,16,16,FALSE,FALSE
4679,4679,harsh,harsh,jj,adjective,Unpleasantly rough to the touch or other senses.,7960,340663848,13,22,18,18,FALSE,FALSE
4680,4680,pray,pray,vv0,verb,To petition or solicit help from a supernatural or higher being.,7960,340671808,20,25,19,14,FALSE,FALSE
4681,4681,diamond,diamond,nn1,noun,Native crystalline carbon that is the hardest known mineral.,7955,340679763,11,22,25,18,FALSE,FALSE
4682,4682,anxious,anxious,jj,adjective,"Full of anxiety or disquietude; greatly concerned or solicitous, especially respecting something future or unknown; being in painful suspense;&mdash;applied to persons; as, anxious for the issue of a battle.",7953,340687716,14,28,18,12,FALSE,FALSE
4683,4683,evil,evil,jj,adjective,Intending to harm; malevolent.,7953,340695669,16,28,15,11,FALSE,FALSE
4684,4684,hardware,hardware,nn1,noun,"Fixtures, equipment, tool tools and device devices used for general-purpose construction and repair of a structure or object.",7953,340703622,6,9,36,14,FALSE,FALSE
4685,4685,survivors,survivor,nn2,noun,To remain alive or in existence; live on.,7952,340711574,19,9,16,30,FALSE,FALSE
4686,4686,princess,princess,nn1,noun,,7952,340719526,19,35,14,12,FALSE,FALSE
4687,4687,sighed,sigh,vvd,verb,,7950,340727476,0,81,4,2,FALSE,FALSE
4688,4688,crown,crown,nn1,noun,,7943,340735419,9,19,22,23,FALSE,FALSE
4689,4689,feel,feel,nn1,noun,,7942,340743361,13,28,26,14,FALSE,FALSE
4690,4690,faced,face,vvd,verb,To position oneself or itself so as to have one's face closest to (something).,7937,340751298,11,22,16,20,FALSE,FALSE
4691,4691,inspired,inspire,vvn,verb,,7936,340759234,10,6,31,21,FALSE,FALSE
4692,4692,musicians,musician,nn2,noun,,7936,340767170,15,9,14,24,FALSE,FALSE
4693,4693,locked,lock,vvn,verb,,7933,340775103,15,37,14,14,FALSE,FALSE
4694,4694,doorway,doorway,nn1,noun,,7933,340783036,3,73,6,3,FALSE,FALSE
4695,4695,residence,residence,nn1,noun,,7932,340790968,9,12,15,26,FALSE,FALSE
4696,4696,tends,tend,vvz,verb,,7922,340798890,11,4,24,14,FALSE,FALSE
4697,4697,casual,casual,jj,adjective,,7920,340806810,6,20,24,21,FALSE,FALSE
4698,4698,script,script,nn1,noun,,7918,340814728,16,20,16,21,FALSE,FALSE
4699,4699,controlled,control,vvn,verb,,7917,340822645,12,5,17,16,FALSE,FALSE
4700,4700,civilians,civilian,nn2,noun,,7917,340830562,29,5,9,25,FALSE,FALSE
4701,4701,managing,managing,jj,adjective,,7916,340838478,9,4,19,34,FALSE,FALSE
4702,4702,decent,decent,jj,adjective,,7914,340846392,15,25,18,19,FALSE,FALSE
4703,4703,arrangement,arrangement,nn1,noun,,7914,340854306,9,13,21,14,FALSE,FALSE
4704,4704,rail,rail,nn1,noun,,7913,340862219,7,22,18,32,FALSE,FALSE
4705,4705,lower,lower,vv0,verb,,7908,340870127,13,10,31,16,FALSE,FALSE
4706,4706,ridiculous,ridiculous,jj,adjective,,7907,340878034,26,30,11,15,FALSE,FALSE
4707,4707,drinks,drink,nn2,noun,,7907,340885941,8,30,22,19,FALSE,FALSE
4708,4708,full-time,full-time,jj,adjective,,7901,340893842,10,5,21,26,FALSE,FALSE
4709,4709,hits,hit,nn2,noun,,7901,340901743,13,6,20,43,FALSE,FALSE
4710,4710,mixed,mix,vvn,verb,,7894,340909637,11,17,22,18,FALSE,FALSE
4711,4711,representative,representative,nn1,noun,"One who may speak for another in a particular capacity, especially in negotiation.",7893,340917530,19,5,14,24,FALSE,FALSE
4712,4712,bottles,bottle,nn2,noun,,7893,340925423,7,32,23,17,FALSE,FALSE
4713,4713,meets,meet,vvz,verb,,7891,340933314,13,11,19,25,FALSE,FALSE
4714,4714,surveys,survey,nn2,noun,,7891,340941205,6,1,14,13,FALSE,FALSE
4715,4715,hired,hire,vvn,verb,,7887,340949092,14,13,14,34,FALSE,FALSE
4716,4716,functional,functional,jj,adjective,,7886,340956978,3,4,16,5,FALSE,FALSE
4717,4717,sooner,soon,rrr,adverb,,7885,340964863,17,28,17,15,FALSE,FALSE
4718,4718,caring,caring,nn1,noun,,7885,340972748,13,12,18,15,FALSE,FALSE
4719,4719,charity,charity,nn1,noun,,7885,340980633,18,12,20,21,FALSE,FALSE
4720,4720,participant,participant,nn1,noun,,7884,340988517,4,1,6,6,FALSE,FALSE
4721,4721,falls,fall,nn2,noun,,7881,340996398,7,18,22,28,FALSE,FALSE
4722,4722,suffered,suffer,vvd,verb,,7879,341004277,14,10,20,28,FALSE,FALSE
4723,4723,rod,rod,nn1,noun,,7877,341012154,7,23,29,21,FALSE,FALSE
4724,4724,silk,silk,nn1,noun,A fine fiber excreted by the silkworm or other arthropod (such as a spider).,7873,341020027,4,42,24,9,FALSE,FALSE
4725,4725,productive,productive,jj,adjective,Producing or forming; said especially of an inflammation that produces new tissue or of a cough that brings forth sputum or mucus.,7872,341027899,10,3,19,15,FALSE,FALSE
4726,4726,quarters,quarter,nn2,noun,,7871,341035770,9,26,19,20,FALSE,FALSE
4727,4727,maps,map,nn2,noun,,7871,341043641,8,11,27,13,FALSE,FALSE
4728,4728,regarded,regard,vvn,verb,,7869,341051510,6,8,17,16,FALSE,FALSE
4729,4729,civic,civic,jj,adjective,"Of, relating to, or belonging to a city, a citizen, or citizenship; municipal or civil.",7869,341059379,5,4,13,31,FALSE,FALSE
4730,4730,screening,screening,nn1,noun,,7869,341067248,10,4,18,17,FALSE,FALSE
4731,4731,hidden,hidden,jj,adjective,Not visible or apparent.,7868,341075116,23,17,20,11,FALSE,FALSE
4732,4732,shore,shore,nn1,noun,,7863,341082979,7,34,22,12,FALSE,FALSE
